"seqnames"	"start"	"end"	"width"	"strand"	"Conc"	"Conc_control"	"Conc_treated"	"Fold"	"p.value"	"FDR"	"BL615"	"BL616"	"BL617"	"BL618"	"BL611"	"BL612"	"BL613"	"BL614"
"5609"	"7"	3900114	3900264	151	"*"	1.0598881108955	0.546448972427377	1.43778873083774	-0.00268376405636639	0.371447771688328	0.999980205328981	0	1.99	1.14	2.72	0	6.63	1.11	3.09
"5610"	"4"	69627106	69627256	151	"*"	1.04085745712398	1.40752231830797	0.548030606783126	0.00275901378891991	0.371456328603702	0.999980205328981	4.86	0.99	1.14	3.63	2.84	1.89	1.11	0
"5611"	"7"	82323428	82323578	151	"*"	0.326255416564543	0.777306242966725	0	0.00214997476799892	0.371460120509276	0.999980205328981	2.91	0.99	1.14	1.81	0	0.95	2.23	0
"5612"	"12"	6964777	6964927	151	"*"	0.326255416564543	0.777306242966725	0	0.00214997476745247	0.371460120620933	0.999980205328981	2.91	0.99	1.14	1.81	0	0.95	2.23	0
"5613"	"19"	11019172	11019322	151	"*"	1.23567039156419	0.784800587590623	1.57867831925948	-0.00291523955547414	0.371469747258265	0.999980205328981	0	0.99	2.27	3.63	2.84	4.74	3.34	1.03
"5614"	"LVXM01048575.1"	3063	3213	151	"*"	2.36479502767281	2.62089399101318	2.05320798072953	0.00370024457743697	0.371470018113037	0.999980205328981	5.83	9.93	3.41	5.44	1.89	10.42	2.23	2.06
"5615"	"5"	134233642	134233792	151	"*"	4.26583816439304	4.1219954906853	4.39663047684098	-0.00555235095085437	0.371491693891231	0.999980205328981	22.34	19.86	10.22	17.23	25.56	26.52	16.7	15.46
"5616"	"6"	25422333	25422483	151	"*"	1.4101379583161	0.990780298986122	1.73465195319977	-0.00309346253476183	0.371621759360046	0.999980205328981	0.97	1.99	2.27	2.72	1.89	3.79	5.57	2.06
"5617"	"19"	32548043	32548193	151	"*"	1.69475026128642	1.99350727137761	1.3175229433053	0.00327348837232239	0.371631999762741	0.999980205328981	1.94	6.95	3.41	3.63	3.79	2.84	3.34	0
"5618"	"10"	88826677	88826827	151	"*"	6.11917251771668	6.04642005107541	6.18843166770645	-0.00855009869607139	0.371642324168591	0.999980205328981	61.18	69.52	73.84	59.84	67.22	68.19	77.95	78.35
"5619"	"6"	77146460	77146610	151	"*"	0.360762788369935	0.827577722013372	0	0.00211076866480547	0.371714829118643	0.999980205328981	0.97	0	3.41	2.72	0.95	0	2.23	0
"5620"	"LVXM01049458.1"	2240	2390	151	"*"	1.68379376412636	1.99078029898612	1.29332004728424	0.00325173475367582	0.371760545034712	0.999980205328981	1.94	3.97	4.54	5.44	1.89	5.68	2.23	0
"5621"	"11"	5119741	5119891	151	"*"	1.26322196360879	0.842275425566835	1.58868389936722	-0.00295363200976843	0.371811841010409	0.999980205328981	2.91	1.99	2.27	0	4.73	1.89	3.34	2.06
"5622"	"2"	40562058	40562208	151	"*"	0.30703863641384	0	0.764930065180085	-0.00211804100989877	0.371888593529607	0.999980205328981	0.97	0.99	1.14	0	0.95	3.79	0	2.06
"5623"	"15"	97802965	97803115	151	"*"	0.62167183851882	0.0529880103034987	1.0285005991033	-0.00242855925930092	0.371904751066786	0.999980205328981	0.97	0	2.27	0.91	1.89	1.89	3.34	1.03
"5624"	"7"	110728052	110728202	151	"*"	1.09480157653934	1.44693250872946	0.627976949269882	0.00277244424118924	0.371941542190615	0.999980205328981	5.83	0.99	2.27	1.81	1.89	0.95	3.34	0
"5625"	"11"	13873511	13873661	151	"*"	1.69858537891966	1.984398843475	1.34179979124231	0.00330926411228815	0.371975647547716	0.999980205328981	3.88	6.95	2.27	2.72	1.89	1.89	2.23	4.12
"5626"	"9"	418302	418452	151	"*"	0.618362142936503	1.04315229102208	0.0136943036468079	0.00242387548952223	0.371994904088601	0.999980205328981	1.94	1.99	3.41	0.91	1.89	0	1.11	1.03
"5627"	"LVXM01046731.1"	595	745	151	"*"	2.87751106398241	3.07814317570543	2.64440001222611	0.0042658290058918	0.372019785335877	0.999980205328981	7.77	6.95	9.09	9.97	8.52	5.68	6.68	4.12
"5628"	"6"	15400923	15401073	151	"*"	2.64028297373792	2.84906250363337	2.39609336956159	0.00401139067972095	0.372097272573023	0.999980205328981	9.71	5.96	2.27	10.88	6.63	4.74	5.57	4.12
"5629"	"1"	43536583	43536733	151	"*"	1.22215133617471	0.765390881259432	1.56854603687283	-0.00290942503660777	0.372159313839623	0.999980205328981	2.91	2.98	0	0.91	5.68	1.89	2.23	2.06
"5630"	"LVXM01046213.1"	2665	2815	151	"*"	2.19031467144287	2.45218580034135	1.87012973514212	0.00368490975370639	0.372231567174452	0.999980205328981	6.8	3.97	5.68	5.44	6.63	3.79	1.11	3.09
"5631"	"11"	113696434	113696584	151	"*"	5.1907101335943	5.28421111576114	5.09072681240537	0.00693759623005963	0.372231877974953	0.999980205328981	44.67	31.78	38.62	40.8	34.09	35.99	31.18	35.05
"5632"	"4"	25262596	25262746	151	"*"	1.21186836101089	0.75457973287324	1.55856566771483	-0.00290511774093943	0.372253404032799	0.999980205328981	0	1.99	1.14	3.63	2.84	4.74	1.11	3.09
"5633"	"16"	46317336	46317486	151	"*"	1.03762259380892	1.3909866291215	0.568620041294876	0.0027832918703344	0.372292669688436	0.999980205328981	3.88	2.98	0	3.63	1.89	1.89	1.11	1.03
"5634"	"15"	105176992	105177142	151	"*"	2.19704460095307	2.45795517127332	1.8782964085119	0.00368168862536868	0.372443522433807	0.999980205328981	2.91	7.94	5.68	5.44	5.68	4.74	2.23	2.06
"5635"	"1"	121735334	121735484	151	"*"	2.14879664949099	2.40159100292606	1.84209362995454	0.00361652749748804	0.372525496726935	0.999980205328981	3.88	7.94	5.68	3.63	3.79	2.84	6.68	1.03
"5636"	"LVXM01048239.1"	5807	5957	151	"*"	1.54062616872533	1.84120054946401	1.16049050311655	0.00315741811081644	0.372527352091542	0.999980205328981	5.83	3.97	0	4.53	1.89	2.84	1.11	3.09
"5637"	"14"	49915381	49915531	151	"*"	0	0.200884510423302	0	0.00136815115813221	0.372592245943707	0.999980205328981	0.97	0	0	3.63	0	0	0	1.03
"5638"	"LVXM01046958.1"	5958	6108	151	"*"	4.27997495682922	4.13319135851427	4.41319389417795	-0.00561674736168905	0.372593696996841	0.999980205328981	18.45	15.89	15.9	19.95	22.72	13.26	24.5	24.74
"5639"	"10"	47721138	47721288	151	"*"	1.29061348949347	1.62738346035122	0.850495098739915	0.00294816950662298	0.372651039870696	0.999980205328981	1.94	4.97	4.54	0.91	1.89	0.95	3.34	1.03
"5640"	"X"	35541397	35541547	151	"*"	0.344495503527158	0.786505880138774	0	0.00215316960154103	0.37267704203737	0.999980205328981	0.97	2.98	1.14	1.81	0	0	2.23	1.03
"5641"	"4"	155193044	155193194	151	"*"	1.26798439841775	0.837857348703093	1.59889104360435	-0.00292643956990457	0.372750422743843	0.999980205328981	3.88	0.99	2.27	0	2.84	1.89	2.23	5.15
"5642"	"6"	41390841	41390991	151	"*"	0.632813554964676	1.07900215153883	0	0.00235663160090471	0.37275504899707	0.999980205328981	2.91	0.99	4.54	0	1.89	0.95	1.11	0
"5643"	"LVXM01046587.1"	4011	4161	151	"*"	1.81378467909523	2.10481508529926	1.44881681764605	0.00339021041948765	0.372808435371164	0.999980205328981	5.83	2.98	5.68	2.72	1.89	3.79	1.11	4.12
"5644"	"11"	38064033	38064183	151	"*"	1.41571910776123	0.975001041430044	1.75283894864974	-0.00303339130936401	0.372873138737216	0.999980205328981	0.97	0.99	2.27	3.63	0.95	1.89	4.45	6.19
"5645"	"6"	61017904	61018054	151	"*"	1.08374827711379	0.593488601513484	1.44899629330632	-0.00269770809356505	0.372937644820971	0.999980205328981	2.91	1.99	1.14	0	0.95	3.79	0	6.19
"5646"	"18"	26411000	26411150	151	"*"	0.601518125382458	1.01792996196998	0.0138030161415169	0.00243833008306234	0.372939857046936	0.999980205328981	1.94	2.98	2.27	0.91	0.95	0.95	1.11	1.03
"5647"	"2"	159341766	159341916	151	"*"	0.60605395394168	1.03930923427399	0	0.0023996549610934	0.37306316713101	0.999980205328981	2.91	0.99	3.41	0.91	0.95	0.95	0	2.06
"5648"	"4"	156623705	156623855	151	"*"	2.2080134914569	2.4816558804898	1.87002572348026	0.0036143116401888	0.373072132526876	0.999980205328981	1.94	4.97	9.09	6.35	6.63	4.74	2.23	1.03
"5649"	"9"	95492962	95493112	151	"*"	1.31759616435451	1.66035814348396	0.86715266900539	0.00291759006640331	0.373096542344956	0.999980205328981	1.94	2.98	6.82	0.91	1.89	0	3.34	2.06
"5650"	"2"	173275708	173275858	151	"*"	2.2191755207288	2.46775281516822	1.9186650322057	0.00370894468489875	0.373210491952651	0.999980205328981	7.77	5.96	5.68	2.72	3.79	3.79	4.45	3.09
"5651"	"6"	19145988	19146138	151	"*"	1.29043623125759	1.61725366054557	0.867212837646136	0.00297086067283858	0.37322374269895	0.999980205328981	1.94	3.97	4.54	1.81	0.95	0.95	3.34	2.06
"5652"	"LVXM01047589.1"	1333	1483	151	"*"	1.43010448761297	1.01401903518317	1.75266098920067	-0.0030728068492716	0.37334709436304	0.999980205328981	2.91	1.99	2.27	0.91	2.84	0.95	5.57	4.12
"5653"	"17"	47344904	47345054	151	"*"	1.37571175842577	0.944443512727891	1.70729136975208	-0.00306503031025821	0.373349305957382	0.999980205328981	1.94	0.99	1.14	3.63	4.73	1.89	3.34	3.09
"5654"	"LVXM01046740.1"	558	708	151	"*"	0.59724648184344	0	1.02863317947583	-0.00236765294892843	0.373355754257877	0.999980205328981	0	0.99	1.14	1.81	2.84	0	2.23	3.09
"5655"	"9"	33241871	33242021	151	"*"	0.598387003819026	1.02793854862809	0	0.00240901304173788	0.373401899377573	0.999980205328981	1.94	0.99	3.41	1.81	0.95	0.95	0	2.06
"5656"	"14"	92396501	92396651	151	"*"	1.81722148298692	1.49270030910356	2.08198202245341	-0.00339752479595341	0.373579096737707	0.999980205328981	2.91	1.99	4.54	1.81	3.79	4.74	2.23	6.19
"5657"	"X"	166375564	166375714	151	"*"	0.571101954787294	1.00244645738045	0	0.00241109180250323	0.373616216739365	0.999980205328981	1.94	1.99	2.27	1.81	1.89	0.95	0	1.03
"5658"	"16"	82193015	82193165	151	"*"	0.571138891976738	1.00244645738045	0	0.00241103608493104	0.373629885496641	0.999980205328981	1.94	1.99	2.27	1.81	0.95	1.89	0	1.03
"5659"	"1"	121726287	121726437	151	"*"	0.594828706607785	0	1.02892711879494	-0.00235755005476941	0.373698772263893	0.999980205328981	0.97	0	1.14	1.81	0.95	0.95	1.11	5.15
"5660"	"LVXM01049699.1"	1576	1726	151	"*"	2.18640113866512	2.46210408765589	1.84525917139963	0.00360385325769198	0.373710696476094	0.999980205328981	7.77	4.97	5.68	3.63	5.68	6.63	0	2.06
"5661"	"X"	74098686	74098836	151	"*"	0.58231622298911	0	0.998763898897269	-0.00240378990415973	0.373798191808074	0.999980205328981	1.94	0	1.14	0.91	1.89	2.84	2.23	1.03
"5662"	"9"	80420050	80420200	151	"*"	2.58512512613701	2.32121287202391	2.8081442550882	-0.00391660863820137	0.373811953972169	0.999980205328981	6.8	2.98	5.68	4.53	11.36	5.68	8.91	2.06
"5663"	"8"	28799485	28799635	151	"*"	1.28121708605686	0.840634832575586	1.6182577095268	-0.00289209894361503	0.373815878992943	0.999980205328981	1.94	0	3.41	1.81	4.73	0.95	5.57	1.03
"5664"	"LVXM01047692.1"	1841	1991	151	"*"	0.615011825779623	0.0332490551657917	1.02844679482771	-0.00240209828889861	0.373839232485467	0.999980205328981	0.97	1.99	1.14	0	2.84	0.95	3.34	1.03
"5665"	"12"	15925884	15926034	151	"*"	1.6721537867749	1.97172149618501	1.29363027935971	0.00325758423882347	0.373846166007633	0.999980205328981	4.86	1.99	3.41	5.44	1.89	3.79	0	4.12
"5666"	"7"	94262298	94262448	151	"*"	0.570178596730875	0	1.01404564824107	-0.00234455077573415	0.373875967613419	0.999980205328981	0	1.99	0	1.81	0.95	1.89	1.11	4.12
"5667"	"6"	110278866	110279016	151	"*"	1.22958898492041	0.802789683785328	1.55852840720327	-0.00292690962974295	0.373960720727475	0.999980205328981	0	1.99	2.27	2.72	3.79	3.79	1.11	3.09
"5668"	"X"	9758700	9758850	151	"*"	0.342670565590109	0	0.782378214666701	-0.00212567523508347	0.37400610301108	0.999980205328981	0	0.99	2.27	0	0.95	3.79	1.11	1.03
"5669"	"10"	9327138	9327288	151	"*"	0.598909533150958	1.01401903518317	0.0138030161415169	0.00243167764010989	0.374032650060406	0.999980205328981	2.91	1.99	2.27	0.91	0.95	0.95	1.11	1.03
"5670"	"10"	5653361	5653511	151	"*"	1.25334659476294	1.59774973623492	0.800054667204625	0.00292790795350308	0.37404386559233	0.999980205328981	2.91	3.97	3.41	1.81	0.95	1.89	0	4.12
"5671"	"1"	51446355	51446505	151	"*"	1.24814737784645	1.57964201043883	0.817023315743995	0.00296551913544694	0.37405367886239	0.999980205328981	1.94	2.98	3.41	3.63	1.89	0.95	1.11	3.09
"5672"	"4"	135839303	135839453	151	"*"	1.5598142711589	1.86422502168295	1.17350781751981	0.00312110667712157	0.37409333089268	0.999980205328981	1.94	6.95	1.14	4.53	3.79	1.89	3.34	0
"5673"	"11"	26877273	26877423	151	"*"	1.37592113277981	0.960558673629411	1.69804416846202	-0.00308456990659709	0.374133636647752	0.999980205328981	1.94	1.99	1.14	2.72	3.79	3.79	3.34	2.06
"5674"	"1"	91283276	91283426	151	"*"	2.20458860381921	2.45943357235366	1.89485815559967	0.0035493418423694	0.374186907095803	0.999980205328981	7.77	1.99	2.27	9.97	1.89	5.68	1.11	6.19
"5675"	"X"	118540417	118540567	151	"*"	0.259405034431103	0.751631359876039	0	0.00206419425184345	0.374313846434947	0.999980205328981	1.94	2.98	0	1.81	0.95	1.89	0	0
"5676"	"LVXM01047891.1"	162	312	151	"*"	4.25263013804047	4.37604638110763	4.11766009649547	0.00547867783027401	0.374379947797087	0.999980205328981	22.34	22.84	12.5	25.39	10.42	21.78	15.59	21.65
"5677"	"2"	113802055	113802205	151	"*"	1.39034707322159	0.921362469585163	1.74370095810241	-0.00297744781574425	0.374418338428224	0.999980205328981	4.86	0	0	2.72	1.89	2.84	5.57	3.09
"5678"	"3"	111634666	111634816	151	"*"	1.05983043479693	0.567342978387473	1.42630820599997	-0.00268467068425797	0.374629421852144	0.999980205328981	3.88	0	1.14	0.91	6.63	0.95	1.11	2.06
"5679"	"16"	82296834	82296984	151	"*"	0.343679139460094	0.802789683785328	0	0.0021054880279106	0.374683032619343	0.999980205328981	0	1.99	2.27	2.72	0.95	0	2.23	0
"5680"	"16"	54152736	54152886	151	"*"	1.26068258423978	1.60964615546873	0.799428690068782	0.00290235857949822	0.374723014195811	0.999980205328981	0.97	3.97	4.54	2.72	3.79	0.95	2.23	0
"5681"	"6"	12211950	12212100	151	"*"	0.577338955959808	0	0.999009073284777	-0.00238285287126678	0.374751436687701	0.999980205328981	0	0.99	1.14	1.81	0.95	2.84	1.11	3.09
"5682"	"17"	45972045	45972195	151	"*"	2.291637637377	2.00441899474794	2.53105962623142	-0.00372621875493202	0.374757167445001	0.999980205328981	2.91	4.97	4.54	3.63	3.79	5.68	3.34	10.31
"5683"	"X"	112537171	112537321	151	"*"	0.577265397445457	0	0.998899240232934	-0.00238265694155912	0.374784220827079	0.999980205328981	0	0.99	1.14	1.81	2.84	0.95	1.11	3.09
"5684"	"3"	87020	87170	151	"*"	2.12875021838521	2.37922128770425	1.82546434645849	0.00360741128970488	0.374795316377595	0.999980205328981	6.8	1.99	5.68	6.35	3.79	1.89	3.34	5.15
"5685"	"9"	1089169	1089319	151	"*"	1.21361733760069	0.777306242966725	1.54816062622859	-0.00291101937749679	0.374824791457957	0.999980205328981	2.91	0.99	1.14	1.81	5.68	2.84	1.11	2.06
"5686"	"5"	4242657	4242807	151	"*"	1.24648162901032	1.57699352514328	0.817023315743995	0.00296008665857658	0.374827433109794	0.999980205328981	2.91	1.99	3.41	3.63	1.89	0.95	1.11	3.09
"5687"	"16"	44896305	44896455	151	"*"	1.41327530353483	0.968664010959586	1.75266098920067	-0.00300641906899107	0.374986600318695	0.999980205328981	0	3.97	1.14	2.72	2.84	0.95	5.57	4.12
"5688"	"4"	50990669	50990819	151	"*"	0.294687985734264	0	0.746910991323392	-0.00210636259005108	0.375024191883597	0.999980205328981	0.97	0.99	1.14	0	2.84	2.84	0	1.03
"5689"	"18"	3526984	3527134	151	"*"	1.8082667154916	2.11674411986861	1.41537205407509	0.00329647386547015	0.37518702809962	0.999980205328981	5.83	1.99	6.82	2.72	1.89	5.68	0	3.09
"5690"	"18"	12289071	12289221	151	"*"	0.591528630627751	1.01792996196998	0	0.002397186414412	0.37519562527663	0.999980205328981	1.94	2.98	2.27	0.91	0.95	1.89	1.11	0
"5691"	"LVXM01047596.1"	83	233	151	"*"	2.98363619077748	3.18151697283676	2.75423314181818	0.00432900004859059	0.375296742803658	0.999980205328981	8.74	8.94	11.36	7.25	7.57	7.58	6.68	5.15
"5692"	"3"	10184042	10184192	151	"*"	0.267921193171027	0.763660431766175	0	0.00204787076754265	0.375297400734875	0.999980205328981	1.94	0.99	1.14	2.72	0	2.84	0	0
"5693"	"X"	118981571	118981721	151	"*"	0.315981690082114	0	0.816682865158713	-0.00200312008602758	0.375314846347782	0.999980205328981	2.91	0	0	0	3.79	0	2.23	1.03
"5694"	"13"	34954253	34954403	151	"*"	1.05773666151768	1.42235255558273	0.568620041294876	0.00271840877337883	0.375334714788007	0.999980205328981	0	5.96	1.14	3.63	1.89	1.89	1.11	1.03
"5695"	"11"	14477118	14477268	151	"*"	1.66863438551115	1.95852520404638	1.30546035436724	0.00326690468354591	0.375384292830581	0.999980205328981	4.86	2.98	2.27	5.44	4.73	1.89	2.23	1.03
"5696"	"1"	18488498	18488648	151	"*"	0.610760496196549	1.03181197354566	0.0136943036468079	0.0024035121817156	0.375387583933568	0.999980205328981	0.97	1.99	3.41	1.81	1.89	0	1.11	1.03
"5697"	"LVXM01049271.1"	841	991	151	"*"	1.25799274587146	1.60542006476374	0.799428690068782	0.00289691384897255	0.375466889341395	0.999980205328981	3.88	3.97	3.41	0.91	3.79	0.95	2.23	0
"5698"	"4"	20716913	20717063	151	"*"	0.573761267901192	1.00638883882852	0	0.00238862846292948	0.375519510555234	0.999980205328981	0.97	2.98	2.27	1.81	1.89	0.95	0	1.03
"5699"	"X"	78913497	78913647	151	"*"	0.573798137068067	1.00638883882852	0	0.00238857182769803	0.375533487853205	0.999980205328981	0.97	2.98	2.27	1.81	0.95	1.89	0	1.03
"5700"	"X"	5814196	5814346	151	"*"	0.57770502533288	0	1.01361470554808	-0.00234818902376598	0.375604660693191	0.999980205328981	0.97	1.99	0	0.91	1.89	2.84	3.34	0
"5701"	"10"	89760951	89761101	151	"*"	0.355739592821542	0.820302881965644	0	0.00208240036106802	0.375644916207268	0.999980205328981	3.88	0	2.27	0.91	0.95	0	2.23	0
"5702"	"LVXM01047489.1"	19769	19919	151	"*"	2.54076172710306	2.29022495007238	2.75416051884345	-0.00386812918104545	0.375660863451719	0.999980205328981	1.94	6.95	7.95	2.72	8.52	7.58	7.8	3.09
"5703"	"16"	62030317	62030467	151	"*"	0.311126220184412	0.772684331692875	0	0.00210061552320706	0.375698187877643	0.999980205328981	3.88	0	1.14	1.81	0	0.95	1.11	1.03
"5704"	"3"	144102171	144102321	151	"*"	0.311126220184412	0.772684331692875	0	0.00210061552320706	0.375698187877643	0.999980205328981	3.88	0	1.14	1.81	0	0.95	1.11	1.03
"5705"	"6"	93868899	93869049	151	"*"	0.611981697985902	0.0529880103034987	1.01385736931706	-0.00240455828174606	0.375838380857692	0.999980205328981	0.97	0	2.27	0.91	0.95	2.84	2.23	2.06
"5706"	"5"	72477765	72477915	151	"*"	0.594917257472605	0.00244645738045469	1.01369430364681	-0.00237555765469343	0.37585684319008	0.999980205328981	0.97	0.99	1.14	0.91	3.79	0	2.23	2.06
"5707"	"10"	102820415	102820565	151	"*"	1.24870912891454	1.58062519825636	0.816869789259991	0.0029395143224947	0.375880662559612	0.999980205328981	2.91	4.97	2.27	1.81	0.95	2.84	2.23	1.03
"5708"	"2"	93064757	93064907	151	"*"	0.631770771955123	0.08274105044723	1.0285005991033	-0.00241153906866056	0.375905056849575	0.999980205328981	0.97	0.99	2.27	0	1.89	1.89	3.34	1.03
"5709"	"4"	159027590	159027740	151	"*"	1.80289654788754	2.07996183236162	1.45966291264136	0.00340059673358504	0.375963895863598	0.999980205328981	4.86	2.98	4.54	4.53	2.84	2.84	2.23	3.09
"5710"	"X"	122070871	122071021	151	"*"	1.67873468097194	1.96727900105094	1.31767548713312	0.00325716495951132	0.376029806846891	0.999980205328981	5.83	5.96	1.14	2.72	3.79	1.89	2.23	2.06
"5711"	"LVXM01049820.1"	8980	9130	151	"*"	4.93764936279184	5.04000193636523	4.82747704046273	0.00640200499747047	0.376047521718568	0.999980205328981	31.08	36.74	37.49	26.29	29.35	22.73	36.75	24.74
"5712"	"8"	27675352	27675502	151	"*"	0.635483994974043	1.08274105044723	0	0.00232240161107508	0.376082017426858	0.999980205328981	1.94	1.99	4.54	0	1.89	0	0	2.06
"5713"	"7"	22436518	22436668	151	"*"	2.95717309778896	3.1633196645018	2.71657986407812	0.00421351575409505	0.3760943968965	0.999980205328981	3.88	9.93	14.77	7.25	5.68	5.68	6.68	8.25
"5714"	"11"	15453595	15453745	151	"*"	1.81273896544395	2.10307978445063	1.44885702216307	0.00335171915559155	0.376095373460237	0.999980205328981	2.91	4.97	5.68	3.63	0.95	4.74	1.11	4.12
"5715"	"5"	3537040	3537190	151	"*"	1.22488867306892	1.58326703103945	0.746976389518882	0.00287183686545822	0.376104653374304	0.999980205328981	1.94	5.96	2.27	1.81	1.89	3.79	0	1.03
"5716"	"2"	45430918	45431068	151	"*"	2.26752525217582	1.9684344788642	2.51513143486884	-0.00368838027654286	0.376118967043535	0.999980205328981	7.77	1.99	2.27	3.63	8.52	4.74	4.45	5.15
"5717"	"5"	4049663	4049813	151	"*"	1.81162935049779	2.08731931963703	1.47050728783886	0.00339807413441271	0.376130051955925	0.999980205328981	4.86	3.97	4.54	3.63	1.89	3.79	3.34	2.06
"5718"	"16"	29382045	29382195	151	"*"	1.28884108792954	1.61467339105779	0.867273003777611	0.00294166662492693	0.376154819479478	0.999980205328981	2.91	2.98	4.54	1.81	0	1.89	3.34	2.06
"5719"	"LVXM01049624.1"	1748	1898	151	"*"	3.40793636732542	3.573543328934	3.22082413184	0.00466201906595211	0.376212631571341	0.999980205328981	15.54	8.94	11.36	11.79	6.63	12.31	11.14	7.22
"5720"	"4"	52006046	52006196	151	"*"	1.08848401571631	1.43670007971878	0.628539923064301	0.00274198477805268	0.376224516207763	0.999980205328981	2.91	4.97	1.14	1.81	0.95	0	1.11	4.12
"5721"	"2"	151717855	151718005	151	"*"	1.38047171931964	0.972470775965078	1.69816134796733	-0.00307053885001637	0.376253767549278	0.999980205328981	2.91	1.99	1.14	1.81	3.79	2.84	2.23	4.12
"5722"	"5"	25632289	25632439	151	"*"	5.86802817787048	5.93933900503979	5.79300841196613	0.00802589863422862	0.376274927468537	0.999980205328981	67.01	56.61	55.66	66.18	53.97	50.2	56.79	60.82
"5723"	"KV440967.1"	341541	341691	151	"*"	0.593826967992554	1.00638883882852	0.0138030161415169	0.00241807795317506	0.376291083703118	0.999980205328981	0.97	2.98	2.27	1.81	0.95	0.95	1.11	1.03
"5724"	"1"	125212908	125213058	151	"*"	0.593826967992554	1.00638883882852	0.0138030161415169	0.00241807795317379	0.376291083703343	0.999980205328981	0.97	2.98	2.27	1.81	0.95	0.95	1.11	1.03
"5725"	"9"	38317064	38317214	151	"*"	0.580442646219585	0	1.01374866091815	-0.00234583488795504	0.376298235436858	0.999980205328981	0	2.98	0	0.91	2.84	0.95	2.23	2.06
"5726"	"LVXM01048983.1"	9451	9601	151	"*"	1.58866448291333	1.87830835252825	1.22587869476917	0.00313052122350435	0.376334977391852	0.999980205328981	1.94	5.96	2.27	4.53	1.89	1.89	5.57	0
"5727"	"9"	96961372	96961522	151	"*"	2.00022208818119	1.66399673602276	2.2727098855242	-0.00352949907096506	0.376348164767237	0.999980205328981	3.88	1.99	2.27	4.53	3.79	3.79	5.57	6.19
"5728"	"X"	80418990	80419140	151	"*"	0.607933922073055	1.05679484947352	0	0.00232890267893876	0.376349183246846	0.999980205328981	0.97	0.99	4.54	1.81	2.84	0	0	1.03
"5729"	"1"	23879119	23879269	151	"*"	0.65341219128077	0.0605916699681159	1.07236270862315	-0.00234946060161465	0.376361418485198	0.999980205328981	0	0.99	2.27	0.91	0	0.95	3.34	4.12
"5730"	"3"	35544530	35544680	151	"*"	2.11295993783309	2.36437710341849	1.80828416329117	0.0035834478789903	0.37637810623168	0.999980205328981	8.74	5.96	2.27	3.63	4.73	2.84	3.34	3.09
"5731"	"9"	7879707	7879857	151	"*"	1.04920855263861	1.43159749039567	0.527406889408694	0.00266485022467659	0.37655132465945	0.999980205328981	1.94	0	3.41	5.44	3.79	0.95	0	1.03
"5732"	"4"	77046486	77046636	151	"*"	0.62494734010202	0.0332490551657917	1.0433409748406	-0.00236231255430078	0.376572351714023	0.999980205328981	0.97	1.99	1.14	0	0	2.84	3.34	2.06
"5733"	"X"	118783760	118783910	151	"*"	0.624840582784315	0.0332490551657917	1.04318120801962	-0.00236202045999673	0.376621962084905	0.999980205328981	0.97	1.99	1.14	0	2.84	0	3.34	2.06
"5734"	"4"	75439124	75439274	151	"*"	1.46194245913049	1.75075810310836	1.10045752661139	0.00301022801152987	0.376633839983879	0.999980205328981	2.91	3.97	1.14	5.44	0	0.95	5.57	2.06
"5735"	"LVXM01048898.1"	981	1131	151	"*"	3.15508898723536	3.34826880398282	2.93198327237095	0.00438284689620798	0.376636021106488	0.999980205328981	8.74	7.94	11.36	12.69	13.26	5.68	3.34	8.25
"5736"	"LVXM01047094.1"	1721	1871	151	"*"	3.73851337306955	3.88917921171807	3.57025819892962	0.00499329437147552	0.376639409719766	0.999980205328981	16.51	16.88	15.9	9.97	11.36	11.37	14.48	10.31
"5737"	"7"	12004781	12004931	151	"*"	2.14420572899864	1.84724417711153	2.39035246305655	-0.00352759781741805	0.376641944887935	0.999980205328981	0.97	2.98	6.82	3.63	9.47	1.89	4.45	5.15
"5738"	"7"	93160697	93160847	151	"*"	0.581106322143215	1.00244645738045	0	0.0023994179580432	0.376642977735427	0.999980205328981	1.94	1.99	2.27	1.81	1.89	0.95	1.11	0
"5739"	"17"	57475420	57475570	151	"*"	0.331165494607635	0	0.799928592854064	-0.00205247420768432	0.376647251077951	0.999980205328981	0.97	0.99	1.14	0	2.84	0	0	4.12
"5740"	"LVXM01048981.1"	9440	9590	151	"*"	3.40372836114533	3.57358105629133	3.21117624311644	0.00463059128441375	0.376655504596912	0.999980205328981	11.65	11.92	11.36	12.69	4.73	15.15	8.91	8.25
"5741"	"LVXM01048526.1"	2318	2468	151	"*"	0.293396114848046	0.746926323136704	0	0.00211093786563327	0.376681658956027	0.999980205328981	2.91	1.99	0	1.81	0.95	0	1.11	1.03
"5742"	"2"	13454644	13454794	151	"*"	0.931516114063425	0.46906184464545	1.2811638074149	-0.00253298925452462	0.376700839741178	0.999980205328981	0	0.99	4.54	0	3.79	2.84	0	3.09
"5743"	"LVXM01047933.1"	3591	3741	151	"*"	4.12125340165399	3.98092544322082	4.24913376269454	-0.00538156123867348	0.376701121814232	0.999980205328981	13.6	16.88	18.18	14.51	15.15	26.52	18.93	15.46
"5744"	"10"	117057188	117057338	151	"*"	1.92250795547077	1.58838686880329	2.19361414648442	-0.00343874923238629	0.376713078984017	0.999980205328981	3.88	4.97	2.27	0.91	4.73	2.84	5.57	5.15
